average_velocity,collision,collision_events,config_sha256,current_game_time,distance_to_route,driven_distance,ego_acceleration_x,ego_acceleration_y,ego_acceleration_z,ego_pitch,ego_roll,ego_velocity,ego_x,ego_y,ego_yaw,ego_z,input_file,lane_invasion,lane_invasion_events,off_road,route_complete,run_id,run_red_light,run_stop,scenario
0.0,running,[],1b7e88b1c1954c3d80a6aab4f661231b0f1fdd69f25351053556856d947243a4,46.6,0.0,0.0,-0.0,0.0,-0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_01.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_01
0.0,running,[],c520063fd4be3579d0987e76ea6ff91fccbc73a6cecc33dc70a3736f0d7fea2c,53.2,0.0,0.0,0.0,-0.0,-0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_02.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_02
0.0,running,[],0c460fbd2e5af8751caee7ec7aee6fc666a1fd84354e11cf79d5a0dbdba46ea4,59.9,0.0,0.0,0.0,-0.0,0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_03.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_03
0.0,running,[],c530b498ccea1cfb68543ae5e73ddf296c9b362cc8222aa70f008337748d31eb,66.5,0.0,0.0,-0.0,0.0,-0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_04.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_04
0.0,running,[],8bb1fbfaa14ec3ffa696be68256200fc2b45d34a80a46a3d7dc5b71052f24aee,72.9,0.0,0.0,-0.0,0.0,0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_05.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_05
0.0,running,[],5b9779d161c6a2430a230a4cd98150b144d38ba10bbfc358d8d76d59ff38b499,79.4,0.0,0.0,0.0,-0.0,0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_06.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_06
0.0,running,[],7aea669ab1baf7796e76a1aed78598efd8faeb54fde734355524efb5bf63afbd,85.8,0.0,0.0,-0.0,0.0,-0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_07.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_07
0.0,running,[],f5424ff2a735c86909f2e6ee34716eef6d3d1e1ad9dbbf6e3e449b6e9d102451,93.3,0.0,0.0,-0.0,-0.0,0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_08.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cloudy_08
0.0,running,[],b837a006df54c13c94940455f7e8cf80f186fae6b669440a4d2bb2f2544b46e5,99.2,0.0,0.0,0.0,0.0,-0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_01.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cold_fog_01
0.0,running,[],dad45c39034e40f84afdb0df3e4a5a66085c1dad6468a2318c4d1727588008ec,106.0,0.0,0.0,-0.0,0.0,0.0,-0.12,-0.0,0.0,-283.15,244.1,-155.72,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_02.json,0,[],0,False,20260910T023011.481458Z,0,0,scenario_1_0000_cold_fog_02
