average_velocity,collision,collision_events,config_sha256,current_game_time,distance_to_route,driven_distance,ego_acceleration_x,ego_acceleration_y,ego_acceleration_z,ego_pitch,ego_roll,ego_velocity,ego_x,ego_y,ego_yaw,ego_z,input_file,lane_invasion,lane_invasion_events,off_road,route_complete,run_id,run_red_light,run_stop,scenario
8.07,running,[],1b7e88b1c1954c3d80a6aab4f661231b0f1fdd69f25351053556856d947243a4,518.0,0.0,121.5,0.2,0.32,1.5,-1.43,0.58,8.07,-399.93,213.31,-171.51,7.34,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_01.json,0,[],0,False,20260909T160358.183024Z,0,0,scenario_1_0000_cloudy_01
0.0,running,[],1b7e88b1c1954c3d80a6aab4f661231b0f1fdd69f25351053556856d947243a4,169.9,0.0,85.26,0.0,-0.0,0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_01.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_01
8.06,running,[],c520063fd4be3579d0987e76ea6ff91fccbc73a6cecc33dc70a3736f0d7fea2c,188.8,0.0,133.61,-0.01,-0.04,-0.33,0.5,1.05,8.06,-411.92,211.56,-172.16,7.31,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_02.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_02
0.0,running,[],0c460fbd2e5af8751caee7ec7aee6fc666a1fd84354e11cf79d5a0dbdba46ea4,206.5,0.0,85.26,0.0,-0.0,-0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_03.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_03
8.09,running,[],c530b498ccea1cfb68543ae5e73ddf296c9b362cc8222aa70f008337748d31eb,223.3,0.0,117.46,-0.15,0.11,-0.43,-2.36,0.55,8.09,-395.93,213.91,-171.36,7.48,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_04.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_04
0.0,running,[],8bb1fbfaa14ec3ffa696be68256200fc2b45d34a80a46a3d7dc5b71052f24aee,241.8,0.0,78.41,-0.0,-0.0,0.0,-0.34,-0.0,0.0,-357.45,220.53,-169.38,8.32,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_05.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_05
0.0,running,[],5b9779d161c6a2430a230a4cd98150b144d38ba10bbfc358d8d76d59ff38b499,261.1,0.0,85.26,-0.0,0.0,-0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_06.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_06
8.06,running,[],7aea669ab1baf7796e76a1aed78598efd8faeb54fde734355524efb5bf63afbd,280.0,0.0,134.42,0.08,0.19,0.26,0.61,0.98,8.06,-412.72,211.45,-172.21,7.31,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_07.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_07
0.0,running,[],f5424ff2a735c86909f2e6ee34716eef6d3d1e1ad9dbbf6e3e449b6e9d102451,299.8,0.0,85.26,-0.0,0.0,0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cloudy_08.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cloudy_08
0.0,running,[],b837a006df54c13c94940455f7e8cf80f186fae6b669440a4d2bb2f2544b46e5,317.5,0.0,85.26,0.0,-0.0,-0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_01.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_01
8.09,running,[],dad45c39034e40f84afdb0df3e4a5a66085c1dad6468a2318c4d1727588008ec,337.0,0.0,117.25,-0.46,0.02,-0.69,-2.36,0.55,8.09,-395.73,213.94,-171.31,7.49,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_02.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_02
0.0,running,[],bd3bf59e70fe7d9407af6c2a6b9b97ff66bd2e8815113ef77a8cacd8ab0adbc6,356.2,0.0,85.26,0.0,-0.0,0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_03.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_03
8.05,running,[],8051415b76f97c40b142238e3eac0ca1739a851f6da15aa5daa2bd8fb6f770f4,375.9,0.0,140.87,-0.15,0.05,-0.06,1.96,1.13,8.05,-419.11,210.58,-172.48,7.42,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_04.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_04
7.93,running,[],eae90c980150c4fb116b8e2cd6041eeb6e3b381bea8da31c17deae2aea5b8a81,395.3,0.0,99.9,1.92,0.35,0.22,-1.5,0.51,7.93,-378.61,216.77,-170.07,8.2,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_05.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_05
0.0,running,[],8cc1effc91db205e23e2ebcebb50a5ac6deaa1719b65b7be58094ddf3e59c7e2,414.1,0.0,85.26,0.0,-0.0,0.0,-0.34,-0.0,0.0,-364.19,219.31,-169.86,8.28,/home/djhuai/zuo/stf/new/STF/save_scenarios_1d/scenario_1_0000_cold_fog_06.json,0,[],0,False,20260909T160734.097185Z,0,0,scenario_1_0000_cold_fog_06
